ID,RougeMesuré,VertMesuré,BleuMesuré,Brightness,L21S_VDD2L_MEM_ENERGY_AVG_UWS,UFS(Disk)_ENERGY_AVG_UWS,S12S_VDD_AUR_ENERGY_AVG_UWS,Camera_ENERGY_AVG_UWS,GPU3D_ENERGY_AVG_UWS,Sensor_ENERGY_AVG_UWS,Memory_ENERGY_AVG_UWS,Memory_ENERGY_AVG_UWS.1,Display_ENERGY_AVG_UWS,GPS_ENERGY_AVG_UWS,GPU_ENERGY_AVG_UWS,WLANBT_ENERGY_AVG_UWS,L22M_DISP_ENERGY_AVG_UWS,S6M_LLDO1_ENERGY_AVG_UWS,S8M_LLDO2_ENERGY_AVG_UWS,S9M_VDD_CPUCL0_M_ENERGY_AVG_UWS,CPU_BIG_ENERGY_AVG_UWS,CPU_LITTLE_ENERGY_AVG_UWS,CPU_MID_ENERGY_AVG_UWS,INFRASTRUCTURE_ENERGY_AVG_UWS,CELLULAR_ENERGY_AVG_UWS,CELLULAR_ENERGY_AVG_UWS.1,INFRASTRUCTURE_ENERGY_AVG_UWS.1,TPU_ENERGY_AVG_UWS,CPU_LITTLE_FREQ_KHz,CPU_MID_FREQ_KHz,CPU_BIG_FREQ_KHz,GPU0_FREQ,GPU_1FREQ,GPU_MEM_AVG,BATTERY_DISCHARGE_TOTAL_UA,BATTERY_DISCHARGE_RATE_UAS,TOTAL_DATA_WIFI_BYTES,AVG_SOC_TEMP,DIFF_SOC_TEMP,BATTERY__PERCENT,L21S_VDD2L_MEM_ENERGY_UW,UFS(Disk)_ENERGY_UW,S12S_VDD_AUR_ENERGY_UW,Camera_ENERGY_UW,GPU3D_ENERGY_UW,Sensor_ENERGY_UW,Memory_ENERGY_UW,Memory_ENERGY_UW.1,Display_ENERGY_UW,GPS_ENERGY_UW,GPU_ENERGY_UW,WLANBT_ENERGY_UW,L22M_DISP_ENERGY_UW,S6M_LLDO1_ENERGY_UW,S8M_LLDO2_ENERGY_UW,S9M_VDD_CPUCL0_M_ENERGY_UW,CPU_BIG_ENERGY_UW,CPU_LITTLE_ENERGY_UW,CPU_MID_ENERGY_UW,INFRASTRUCTURE_ENERGY_UW,CELLULAR_ENERGY_UW,CELLULAR_ENERGY_UW.1,INFRASTRUCTURE_ENERGY_UW.1,TPU_ENERGY_UW,C_ID,C_PL,M_ID,M_PL
669,155,144,102,31,4328.259288222152,29703.605857006063,5121.0994733482285,24351.097630067023,20364.684966485795,11574.974553143951,7121.337480051069,66038.52553463135,189774.54617778485,487.7360596872008,49861.505426109165,223804.63466326203,55366.25689778983,105846.54729913032,32825.265323545835,18531.95333120562,65288.6250059842,205049.70378201548,107317.56258677092,66647.46555493497,5012.593800367031,0.0,30731.00967844889,0,942365,836704,640355,213774,165009,407814144,-2000.0,333827.78571428574,4747015,45101.2,-1666,67.0,129913.0,880892.0,152979.0,726906.0,609806.0,345237.0,205140.0,1958540.0,5683480.0,14580.0,1489233.0,6678815.0,1658161.0,3165135.0,981703.0,551502.0,1921564.0,6129995.0,3224974.0,1957318.0,154919.0,0.0,913520.0,0.0,7.66,26.330000000000002,236619.52,4630537.333333333
67,221,230,12,37,2114.8835868952747,33273.653175561456,5163.322965467278,27458.45493037109,35530.54341141431,14059.744586653786,36916.51906946792,249258.9101988248,293883.57021653384,505.9011027932062,116015.60289785075,203284.82508250824,55187.05604700769,179103.67811808267,39230.17873385117,31483.531025878376,774815.7333360164,707873.7125286756,972022.8844448024,210136.853133175,6142.077884654083,0.0,45656.97119169316,0,1462433,4326731,1771029,390470,296847,505110528,-12000.0,1229895.5925925926,1178245,45121.57142857143,2092,66.0,63761.0,997611.0,156384.0,830553.0,1068216.0,423433.0,1109620.0,7687015.0,8825138.0,15246.0,3489333.0,6088609.0,1656557.0,5412616.0,1183920.0,947509.0,23185404.0,21148824.0,29021006.0,6319680.0,177883.0,0.0,1388804.0,0.0,51.14,66.45113333333332,364652.7733333333,4720807.706666667
670,107,130,98,75,2605.401704951077,31477.71288791836,5349.182673329694,23679.40932263889,73438.70725234116,12737.5007684878,40728.59244950237,299639.80337630707,258262.16811825475,524.0060639146684,313579.7957250242,201787.6480829799,51380.98551272361,176695.26873267826,38464.91347106744,32866.54941630973,820163.021659528,882466.5126984126,864309.4584194173,313303.52469975647,5743.386352565718,0.0,54417.94227765181,0,2179341,630771,1761377,793587,752924,487870464,-12000.0,1512547.8076923075,2652959,45752.72727272727,4791,67.0,77855.0,932041.0,160565.0,716601.0,2179247.0,383007.0,1222534.0,8911260.0,7717202.0,15694.0,9279009.0,6047131.0,1534264.0,5271408.0,1155372.0,982758.0,23789693.0,25899870.0,25003924.0,9167638.0,189863.0,1386.0,1621079.0,0.0,64.48993288590604,77.43563758389263,446702.71140939597,4819734.657718121
671,8,85,56,6,2293.981818181818,28606.047080900757,5041.1358882402,21155.908056713928,52962.70127606338,11866.594145120933,25972.050241868223,146263.45981651376,95847.24302752294,502.5184070058382,213619.86291909925,205480.7216346956,51250.22946033864,130888.79764784386,34424.56380849112,20019.244974560013,343219.6659354408,304563.7124113771,399579.8613729252,165706.7462257069,5565.885536742013,47.995637667862205,35364.50543831846,0,1104206,2293968,1149244,615462,555575,502898688,-6000.0,816342.2592592592,2496905,46373.3,525,66.0,69179.0,850984.0,152641.0,637965.0,1599197.0,359007.0,781919.0,4413072.0,2890780.0,15147.0,6477397.0,6178634.0,1544867.0,3945999.0,1038934.0,603786.0,10341867.0,9155344.0,12046198.0,4992218.0,179056.0,1191.0,1062939.0,0.0,45.65771812080537,59.2206711409396,332659.00671140937,4781592.214765101
672,95,107,137,47,2260.457766952756,27990.430735328227,5036.5740508776,20669.052478156653,54075.10095105544,12017.08382432537,23211.42183561432,144824.37819531432,234687.4627928555,499.6787752261656,213910.93450862137,199436.1258022114,48216.94942386513,129033.9887634367,34336.745209187226,20107.76453483876,341623.06814631505,314003.8987858634,397882.2749439332,160516.4563838837,4191.876962338566,0.0,34571.907594153585,0,1135068,2141386,1148583,626395,550962,500559872,-6000.0,760960.2222222222,2122357,46195.27272727273,525,65.0,71707.0,883627.0,160303.0,659748.0,1717003.0,381401.0,738335.0,4604136.0,7453460.0,15863.0,6752956.0,6297333.0,1535006.0,4099734.0,1089642.0,638940.0,10911805.0,9946786.0,12716540.0,5059515.0,142189.0,0.0,1097274.0,0.0,45.44,59.43339999999999,320617.25333333336,4757602.32
673,187,28,63,93,2205.572358113509,30422.750583533176,5166.468217426059,23779.79396482814,53727.33283772982,12228.102102318146,25208.8574980016,212244.7686490807,257784.4648441247,501.8257713828937,210623.38716227017,261753.38490807352,53746.68902565743,159966.7605467189,35451.278442970186,27392.04602349932,346697.9289265446,598904.2358564463,510133.8749260651,179991.24130764927,5703.273535288946,0.0,39171.36634961234,0,1916806,2885112,1123771,633095,526530,497463296,-8000.0,951099.2962962964,12262330,46731.3,1479,65.0,67557.0,923662.0,158675.0,727734.0,1642033.0,375199.0,769981.0,6510047.0,7880323.0,15350.0,6417073.0,7924098.0,1645778.0,4902088.0,1084586.0,841789.0,10619747.0,18213461.0,15734549.0,5502460.0,186123.0,196.0,1198328.0,0.0,65.21476510067114,80.47550335570467,413168.644295302,4821626.281879195
674,75,148,19,55,2206.210228371956,29242.657543003745,4972.792698826597,22204.04513605585,52351.67200235522,11658.29075156664,21244.34048870757,141814.29616015477,173643.5755309753,492.79224460613193,208005.51646549188,202628.90992135255,51403.62642049039,126255.5247592211,33470.75243302351,19261.06075619296,340409.1987214535,264315.4652058712,286221.86296841485,155639.6847373512,5386.352062917946,0.0,34550.33940362535,0,873334,1858184,1147445,630412,550236,481775616,-4000.0,734437.44,2573898,46524.63636363636,214,64.0,65963.0,864064.0,148639.0,665925.0,1558219.0,350816.0,640143.0,4246336.0,5200043.0,14758.0,6172247.0,6126022.0,1541036.0,3777365.0,1004497.0,575828.0,10190957.0,7871246.0,8575742.0,4658033.0,155886.0,0.0,1031411.0,0.0,38.16778523489933,53.74523489932885,292841.10067114094,4735075.624161074
675,22,220,211,56,4389.024662121756,29627.307626679423,4709.021576366464,24389.485850974765,19635.86199417932,11374.300761471914,6592.001809990831,64009.35237411792,530095.814998206,481.9479328628952,46734.72394051748,213380.87483953277,56170.25982060992,107250.26540163445,32634.24717560295,18417.41920669723,63267.21706198924,186693.1850428543,125399.6698265896,64326.212485549135,4390.484129958142,0.0,30648.37501295595,0,884831,915692,627177,207920,160609,448049152,-4000.0,511213.7692307693,3354442,45193.6,-1322,64.0,131740.0,885481.0,140291.0,728358.0,587405.0,340216.0,196912.0,1919699.0,15891818.0,14423.0,1397395.0,6490548.0,1685556.0,3209457.0,976304.0,549528.0,1708485.0,5623833.0,3822161.0,1881849.0,148287.0,0.0,912801.0,0.0,9.610738255033556,28.56120805369128,235484.48322147652,4656932.026845638
676,149,15,139,32,4870.417047584859,29967.183805990982,4750.824642016672,23996.15094730964,27011.29747517051,11462.084823102388,7663.414446970603,83358.76231502533,185255.1755893263,485.8082804834271,74280.6222009493,212526.5869251326,55861.9503867932,114554.6662971529,33229.92765770795,19541.45157508573,268499.949629157,286599.4537203924,222513.45202966745,81290.35667916102,5318.11425153521,0.0,32929.530441024006,0,1173408,1491330,1073346,302478,233230,466452480,-4000.0,508252.0,3349831,43915.8,435,63.0,147467.0,892089.0,142067.0,719874.0,809192.0,343509.0,225813.0,2488964.0,5555631.0,14543.0,2229982.0,6366335.0,1677585.0,3430318.0,995439.0,585820.0,8082305.0,8621071.0,6694247.0,2388910.0,152025.0,0.0,984416.0,0.0,29.62,46.9465333333333,253651.33333333334,4749148.906666666
677,179,128,235,40,2135.928967916506,27046.749795129494,5008.724932354078,21282.21431774256,51496.6755469656,11915.262404329338,25555.65305759567,218899.37710088905,393023.0436954001,489.6629996134519,201300.36805566293,204552.53692307693,51222.153881843486,162024.33723321994,34987.5679245283,28058.47502319827,342553.3633622023,734994.0038277141,579930.1148778225,187770.6747912156,4754.252729662852,0.0,38447.067390968135,0,2132605,err,1118943,622322,528981,464957440,-8000.0,1112476.7777777778,3195776,44794.5,2448,63.0,68171.0,868387.0,159963.0,682983.0,1645979.0,379628.0,826696.0,7046281.0,12492747.0,15603.0,6416495.0,6558977.0,1626954.0,5181061.0,1115913.0,903028.0,10922377.0,23795469.0,18568367.0,6017273.0,154353.0,0.0,1236121.0,0.0,63.02013422818792,76.02127516778519,405900.6979865772,4737033.127516778
678,96,226,37,61,2162.495336400945,27224.25402313145,4868.69730133068,19864.210670314635,50075.784181072006,11651.267926874769,21690.87705509265,137212.96371098122,295694.625519214,488.9577167019028,197126.0231065788,193571.89411764705,50304.69362072539,117865.40298445596,33593.95833367876,18330.03230673575,329601.45970569947,205391.07966010363,78788.0896580311,159865.74205181346,5171.892858031088,0.0,33387.366225906735,0,804246,736410,1151233,605576,526803,487124992,-6000.0,679999.6666666666,2030440,45838.7,-429,62.0,64928.0,805755.0,146373.0,595472.0,1507061.0,349635.0,651602.0,4106537.0,8873327.0,14661.0,5936850.0,5811941.0,1511766.0,3533322.0,1005376.0,549585.0,9919691.0,6128055.0,2351696.0,4789816.0,155860.0,0.0,1002377.0,0.0,14.233333333333333,33.772866666666665,323917.5466666667,4728643.093333334
679,231,180,178,21,2135.228809306569,27617.63184306569,4821.386587591241,20666.662994221413,49890.6704303528,11401.177265815084,20413.13410127737,131168.93662560827,228958.14463959853,482.114180352798,196474.39068582727,204533.2657238443,48899.62607108914,115979.07641893176,32588.6693936514,18303.97265158715,322098.52249382244,204143.011343851,95191.36364189316,149854.9644934423,4616.202729519103,0.0,31778.52968637141,0,961435,824626,1153449,610578,530006,473387008,-6000.0,629107.0714285715,3164071,45132.27272727273,-191,62.0,69542.0,888193.0,155851.0,672651.0,1639070.0,370574.0,675361.0,4332067.0,7443480.0,15702.0,6400309.0,6674390.0,1587702.0,3788081.0,1061742.0,598841.0,10402500.0,7019037.0,3280180.0,4963526.0,149671.0,0.0,1036967.0,0.0,18.373333333333335,35.68106666666667,300018.2133333333,4717984.106666666
68,76,141,57,79,2163.761759128505,30308.807351220497,5009.22989711519,23827.39906394997,49951.0293726044,13023.923929796249,16121.087294734718,121776.11530361106,218485.2744401856,504.2121605809965,187247.93209602585,198347.90262658865,51377.25044179948,121668.51486786362,33368.42927577164,19326.402089973773,330006.8215533589,241854.69765584025,95369.44879564251,138346.30018156144,5213.790494250555,0.0,35716.17337099052,0,1006778,807887,1198271,632636,532019,519278592,-6000.0,575568.8571428572,1533178,44512.28571428572,-687,66.0,64879.0,904539.0,149666.0,715037.0,1502143.0,390188.0,487603.0,3672723.0,6561889.0,15120.0,5683606.0,5919174.0,1543435.0,3651816.0,1002507.0,579425.0,10454140.0,7249576.0,2817553.0,4145742.0,156753.0,0.0,1071663.0,0.0,14.328859060402685,33.743489932885915,266488.91275167785,4680523.22147651
680,197,105,11,32,2168.020354017661,30295.58517600991,5005.846198106045,21715.68708195149,51371.04146721541,12035.67450353618,25802.94314939865,208457.6834059216,165281.78295440922,489.54973428697,201874.9128940744,258285.9970911416,49308.44392056578,152734.0201302593,35112.703568146404,27867.98341790866,345026.3585088105,726321.3718304231,498628.4047149079,187024.8957525872,4205.405697846326,0.0,38777.46202900868,0,2265833,err,1115607,614541,531494,489754624,-10000.0,1047418.7407407408,11271924,45745.545454545456,2112,61.0,67384.0,925308.0,154916.0,676755.0,1600618.0,373777.0,809519.0,6482073.0,5107990.0,15171.0,6254732.0,7892954.0,1523660.0,4740658.0,1089524.0,862219.0,10657092.0,22318177.0,15539465.0,5834217.0,135764.0,0.0,1206889.0,0.0,64.39333333333333,78.9208,429735.28,4804613.066666666
681,202,135,38,44,2130.108299542428,31774.762851084408,4820.920880919608,19553.36877348313,49577.612112644616,11454.494884862914,19551.56891484692,132849.5434470444,208212.4690748112,483.92172910234,192904.3519437521,208440.7726200662,49995.11596726191,119372.97632440476,33410.03168898809,18536.774732142854,328900.81463541667,206248.2508110119,107758.72166666664,149235.8424404762,5762.180982142857,0.0,32697.63522321429,0,951973,878692,1150681,599073,515728,514428928,-6000.0,564978.1379310344,10179653,45893.36363636364,405,61.0,70854.0,1023773.0,160609.0,657378.0,1647049.0,381984.0,653262.0,4435450.0,7098944.0,16129.0,6449213.0,6937120.0,1671453.0,3988717.0,1114411.0,619599.0,10844067.0,6953109.0,3728080.0,4954756.0,187809.0,0.0,1087033.0,0.0,19.93959731543624,37.46389261744966,342407.9463087248,4852191.865771812
682,234,164,37,31,2201.755684157378,28122.06618246786,4828.055058841806,19105.261001281702,50552.594352740125,11534.170396551055,24224.2283605857,140312.95209538977,208960.9317279683,492.5270594632384,198081.51088670525,202963.76641938864,51203.2376184558,117726.19624048469,33264.465271089015,18270.701405934444,331052.54647351254,195979.39481901508,76418.86503029361,163476.959212366,5395.774289265186,0.0,33132.230231474285,0,793953,738124,1148406,588710,524536,509284352,-6000.0,582019.75,2108405,45201.181818181816,239,60.0,69327.0,872429.0,152390.0,605171.0,1594560.0,363960.0,756647.0,4418709.0,6586914.0,15521.0,6237133.0,6372478.0,1616460.0,3718315.0,1048748.0,576376.0,10406876.0,6178128.0,2493273.0,5121064.0,163795.0,0.0,1041800.0,0.0,14.513333333333334,32.88733333333332,322221.73333333334,4695591.546666667
683,163,70,216,43,2029.434461841756,29514.523888235963,5004.827463320316,23391.928346665656,47094.86498085453,11836.567411002008,20303.89171626796,207822.10330970163,354018.0221632483,481.9793380596733,188306.73796868484,223867.8766197824,52918.93479167457,160664.93477650982,34538.74160821928,28129.74057701786,340702.7668119953,740229.357667665,520950.12196989806,168351.1129393032,5847.856352124958,0.0,37894.781635515785,0,2268725,err,1142117,610119,523030,490672128,-8000.0,1101472.892857143,6304953,45599.8,1454,60.0,66355.0,958985.0,163810.0,766919.0,1532553.0,386922.0,668055.0,6820290.0,11574655.0,15741.0,6133056.0,7359303.0,1724936.0,5241745.0,1129526.0,917229.0,11092330.0,24088670.0,16991751.0,5515910.0,190366.0,0.0,1241219.0,0.0,63.52,78.79106666666668,387895.73333333334,4776154.72
